국명,Genus,sp_epithet,"['subsp/var/for','name']",author,etc,,변환 함수
돼지풀아재비,Parthenium,hysterophorus,null,L.,,,"['돼지풀아재비','Parthenium','hysterophorus',null,'L.',''],"
벳지,Vicia,villosa,null,Roth.,,,"CONCATENATE(""['"",A2,""','"",B2,""','"",C2,""',"",D2,"",'"",E2,""','"",F2,""'],"")"
